Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
32;Sat;sábado, 4 de novembro de 2023;19:30;Grêmio;0.5;1–0;0.9;Bahia;40,154;Arena do Grêmio;Braulio Machado;Match Report;
32;Sat;sábado, 4 de novembro de 2023;19:30;América (MG);1.4;1–1;1.0;Atlético Mineiro;5,706;Estádio Raimundo Sampaio;Rodrigo José Pereira de Lima;Match Report;
32;Sun;domingo, 5 de novembro de 2023;16:00;Cruzeiro;1.4;1–2;0.6;Internacional;36,801;Estádio Governador Magalhães Pinto;Matheus Delgado Candançan;Match Report;
32;Sun;domingo, 5 de novembro de 2023;16:00;Fortaleza;0.8;0–2;0.7;Flamengo;49,324;Estádio Castelão;Anderson Daronco;Match Report;
32;Sun;domingo, 5 de novembro de 2023;16:00;Bragantino;1.1;1–0;0.3;Corinthians;10,797;Estádio Nabi Abi Chedid;Raphael Claus;Match Report;
32;Sun;domingo, 5 de novembro de 2023;18:30;Coritiba;0.3;0–1;1.3;Goiás;12,942;Estádio Major Antônio Couto Pereira;Rafael Rodrigo Klein;Match Report;
32;Sat;sábado, 4 de novembro de 2023;21:30;Palmeiras;1.5;1–0;0.6;Ath Paranaense;17,301;Allianz Parque;Wilton Pereira Sampaio;Match Report;
32;Mon;segunda-feira, 6 de novembro de 2023;19:00;Vasco da Gama;0.5;1–0;0.5;Botafogo (RJ);21,043;Estádio Club de Regatas Vasco da Gama;Leandro Pedro Vuaden;Match Report;
32;Mon;segunda-feira, 6 de novembro de 2023;21:00;Santos;0.1;0–0;0.5;Cuiabá;12,923;Estádio Urbano Caldeira;Savio Pereira;Match Report;
33;Wed;quarta-feira, 8 de novembro de 2023;19:00;América (MG);0.4;0–3;0.9;Coritiba;1,943;Estádio Raimundo Sampaio;Marcelo de Lima Henrique;Match Report;
33;Wed;quarta-feira, 8 de novembro de 2023;19:00;Internacional;1.1;0–0;0.5;Fluminense;18,669;Estádio José Pinheiro Borba;Rodrigo José Pereira de Lima;Match Report;
33;Wed;quarta-feira, 8 de novembro de 2023;20:00;São Paulo;2.0;1–0;0.5;Bragantino;11,948;Estádio do Morumbi;Flavio de Souza;Match Report;
33;Wed;quarta-feira, 8 de novembro de 2023;20:00;Ath Paranaense;1.2;1–1;0.7;Fortaleza;19,831;Estádio Joaquim Américo Guimarães;Raphael Claus;Match Report;
33;Thu;quinta-feira, 9 de novembro de 2023;19:00;Corinthians;1.5;1–1;1.1;Atlético Mineiro;30,348;Neo Química Arena;Braulio da Silva Machado;Match Report;
33;Thu;quinta-feira, 9 de novembro de 2023;19:00;Goiás;0.8;0–1;0.9;Santos;11,836;Estádio de Hailé Pinheiro;Paulo Zanovelli;Match Report;
33;Thu;quinta-feira, 9 de novembro de 2023;20:00;Botafogo (RJ);1.4;3–4;2.0;Grêmio;17,708;Estádio Nilton Santos;Ramon Abatti;Match Report;
33;Thu;quinta-feira, 9 de novembro de 2023;20:00;Bahia;0.7;0–3;2.0;Cuiabá;33,931;Itaipava Arena Fonte Nova;Felipe Fernandes de Lima;Match Report;
33;Wed;quarta-feira, 8 de novembro de 2023;21:30;Flamengo;1.4;3–0;1.0;Palmeiras;64,59;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
34;Sat;sábado, 11 de novembro de 2023;16:00;Coritiba;0.7;1–0;0.6;Cruzeiro;7,243;Estádio Major Antônio Couto Pereira;Braulio Machado;Match Report;
34;Sat;sábado, 11 de novembro de 2023;18:30;Flamengo;0.9;1–1;1.4;Fluminense;59,97;Estadio Jornalista Mário Filho;Wilton Pereira Sampaio;Match Report;
34;Sun;domingo, 12 de novembro de 2023;16:00;Bragantino;2.9;2–2;0.8;Botafogo (RJ);9,869;Estádio Nabi Abi Chedid;Anderson Daronco;Match Report;
34;Sun;domingo, 12 de novembro de 2023;16:00;Grêmio;1.4;0–1;0.6;Corinthians;49,459;Arena do Grêmio;Rodrigo José Pereira de Lima;Match Report;
34;Sun;domingo, 12 de novembro de 2023;17:30 (18:30);Cuiabá;1.6;2–1;0.5;Fortaleza;14,728;Arena Pantanal;Caio Max Augusto Vieira;Match Report;
34;Sun;domingo, 12 de novembro de 2023;18:30;Santos;0.6;0–0;1.2;São Paulo;13,442;Estádio Urbano Caldeira;Raphael Claus;Match Report;
34;Sun;domingo, 12 de novembro de 2023;18:30;Vasco da Gama;1.7;2–1;2.5;América (MG);19,478;Estádio Club de Regatas Vasco da Gama;Savio Pereira;Match Report;
34;Sun;domingo, 12 de novembro de 2023;18:30;Bahia;2.5;1–1;0.7;Ath Paranaense;33,214;Itaipava Arena Fonte Nova;Rafael Rodrigo Klein;Match Report;
34;Sun;domingo, 12 de novembro de 2023;18:30;Atlético Mineiro;1.2;2–1;1.0;Goiás;29,173;;Marcelo de Lima Henrique;Match Report;
34;Sat;sábado, 11 de novembro de 2023;21:00;Palmeiras;1.7;3–0;0.7;Internacional;19,358;Allianz Parque;Paulo Zanovelli;Match Report;
30;Sat;sábado, 18 de novembro de 2023;18:30;Fortaleza;1.2;0–1;0.9;Cruzeiro;30,804;Estádio Castelão;Savio Pereira;Match Report;
33;Wed;quarta-feira, 22 de novembro de 2023;19:00;Cruzeiro;1.5;2–2;0.8;Vasco da Gama;;Estádio Governador Magalhães Pinto;Leandro Pedro Vuaden;Match Report;
29;Thu;quinta-feira, 23 de novembro de 2023;19:00;Fortaleza;2.0;2–2;0.8;Botafogo (RJ);25,828;Estádio Castelão;Ramon Abatti;Match Report;
32;Wed;quarta-feira, 22 de novembro de 2023;21:30;Fluminense;1.0;1–0;0.1;São Paulo;44,694;Estadio Jornalista Mário Filho;André Luiz Skettino Policarpo Bento;Match Report;
30;Thu;quinta-feira, 23 de novembro de 2023;21:30;Flamengo;1.1;1–0;1.3;Bragantino;57,699;Estadio Jornalista Mário Filho;Braulio Machado;Match Report;
35;Sat;sábado, 25 de novembro de 2023;19:30;Ath Paranaense;1.5;0–0;0.6;Vasco da Gama;22,056;Estádio Joaquim Américo Guimarães;Anderson Daronco;Match Report;
35;Fri;sexta-feira, 24 de novembro de 2023;21:00;Corinthians;0.9;1–5;2.7;Bahia;39,403;Neo Química Arena;Marcelo de Lima Henrique;Match Report;
35;Sun;domingo, 26 de novembro de 2023;16:00;Atlético Mineiro;2.1;3–0;1.3;Grêmio;39,337;Arena MRV;Braulio Machado;Match Report;
35;Sun;domingo, 26 de novembro de 2023;16:00;Botafogo (RJ);1.6;1–1;0.3;Santos;26,548;Estádio Nilton Santos;Wilton Pereira Sampaio;Match Report;
35;Sun;domingo, 26 de novembro de 2023;18:30;Internacional;1.1;1–0;0.5;Bragantino;22,17;Estádio José Pinheiro Borba;Felipe Fernandes de Lima;Match Report;
35;Sun;domingo, 26 de novembro de 2023;18:30;São Paulo;0.8;0–0;0.1;Cuiabá;34,252;Estádio do Morumbi;Paulo Zanovelli;Match Report;
35;Sun;domingo, 26 de novembro de 2023;18:30;Fortaleza;1.8;2–2;0.8;Palmeiras;39,504;Estádio Castelão;André Luiz Skettino Policarpo Bento;Match Report;
35;Sun;domingo, 26 de novembro de 2023;18:30;América (MG);0.5;0–3;3.0;Flamengo;39,9;Estádio Raimundo Sampaio;Rodrigo José Pereira de Lima;Match Report;
35;Sat;sábado, 25 de novembro de 2023;21:00;Fluminense;1.9;2–1;0.8;Coritiba;19,919;Estadio Jornalista Mário Filho;Matheus Delgado Candançan;Match Report;
35;Mon;segunda-feira, 27 de novembro de 2023;21:00;Goiás;0.4;0–1;0.9;Cruzeiro;9,143;Estádio de Hailé Pinheiro;Ramon Abatti;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;19:00;Santos;1.5;0–3;1.1;Fluminense;12,855;Estádio Urbano Caldeira;Anderson Daronco;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;19:00 (20:00);Cuiabá;0.6;0–2;1.4;Internacional;12,527;Arena Pantanal;Dyorgines José Padovani Andrade;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;19:30;Flamengo;1.0;0–3;1.2;Atlético Mineiro;65,305;Estadio Jornalista Mário Filho;Ramon Abatti;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;20:00;Bahia;0.9;0–1;1.0;São Paulo;46,288;Itaipava Arena Fonte Nova;Braulio Machado;Match Report;
36;Tue;terça-feira, 28 de novembro de 2023;21:30;Vasco da Gama;1.4;2–4;1.4;Corinthians;20,22;Estádio Club de Regatas Vasco da Gama;Savio Pereira;Match Report;
36;Thu;quinta-feira, 30 de novembro de 2023;19:00;Grêmio;1.1;2–1;0.6;Goiás;36,875;Arena do Grêmio;Marcelo de Lima Henrique;Match Report;
36;Thu;quinta-feira, 30 de novembro de 2023;20:00;Cruzeiro;3.6;1–1;1.0;Ath Paranaense;36,696;Estádio Governador Magalhães Pinto;Leandro Pedro Vuaden;Match Report;
36;Thu;quinta-feira, 30 de novembro de 2023;20:30;Bragantino;1.5;1–2;0.7;Fortaleza;4,516;Estádio Nabi Abi Chedid;Denis da Silva Ribeiro Serafim;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;21:30;Palmeiras;3.2;4–0;0.1;América (MG);29,717;Allianz Parque;Wilton Pereira Sampaio;Match Report;
36;Wed;quarta-feira, 29 de novembro de 2023;21:30;Coritiba;1.7;1–1;2.0;Botafogo (RJ);;Estádio Major Antônio Couto Pereira;Rodrigo José Pereira de Lima;Match Report;
37;Sat;sábado, 2 de dezembro de 2023;18:00;Corinthians;1.8;1–2;1.0;Internacional;40,583;Neo Química Arena;Caio Max Augusto Vieira;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;16:00;Flamengo;1.5;2–1;0.8;Cuiabá;63,148;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;16:00;Palmeiras;2.0;1–0;0.3;Fluminense;29,986;Allianz Parque;Braulio Machado;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;Grêmio;0.8;1–0;0.8;Vasco da Gama;50,481;Arena do Grêmio;Ramon Abatti;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;Ath Paranaense;1.0;3–0;0.7;Santos;21,056;Estádio Joaquim Américo Guimarães;Rafael Rodrigo Klein;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;América (MG);1.2;3–2;3.7;Bahia;2,471;Estádio Raimundo Sampaio;Marcelo de Lima Henrique;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;Bragantino;2.1;1–0;0.3;Coritiba;3,442;Estádio Nabi Abi Chedid;Dyorgines José Padovani Andrade;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;Botafogo (RJ);1.0;0–0;0.9;Cruzeiro;15,462;Estádio Nilton Santos;Wilton Pereira Sampaio;Match Report;
37;Sun;domingo, 3 de dezembro de 2023;18:30;Fortaleza;1.2;1–0;0.3;Goiás;50,317;Estádio Castelão;Anderson Daronco;Match Report;
37;Sat;sábado, 2 de dezembro de 2023;21:00;Atlético Mineiro;0.8;2–1;1.9;São Paulo;53,856;Estádio Governador Magalhães Pinto;Savio Pereira;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;19:00;Goiás;0.9;1–0;0.9;América (MG);1,966;Estádio de Hailé Pinheiro;Davi de Oliveira Lacerda;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;20:30 (21:30);Cuiabá;2.4;3–0;1.0;Ath Paranaense;9,689;Arena Pantanal;Paulo Belence Alves dos Prazeres Filho;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Santos;1.0;1–2;1.2;Fortaleza;14,13;Estádio Urbano Caldeira;Leandro Pedro Vuaden;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Bahia;1.4;4–1;1.1;Atlético Mineiro;28,019;Itaipava Arena Fonte Nova;Ramon Abatti;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Coritiba;0.6;0–2;0.9;Corinthians;;Estádio Major Antônio Couto Pereira;Jonathan Benkenstein Pinheiro;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Fluminense;2.4;2–3;2.4;Grêmio;44,19;Estadio Jornalista Mário Filho;Raphael Claus;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;São Paulo;0.5;1–0;0.4;Flamengo;36,618;Estádio do Morumbi;Caio Max Augusto Vieira;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Cruzeiro;1.6;1–1;1.4;Palmeiras;44,19;Estádio Governador Magalhães Pinto;Anderson Daronco;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Internacional;1.2;3–1;0.4;Botafogo (RJ);27,365;Estádio José Pinheiro Borba;Flavio de Souza;Match Report;
38;Wed;quarta-feira, 6 de dezembro de 2023;21:30;Vasco da Gama;1.6;2–1;0.8;Bragantino;20,037;Estádio Club de Regatas Vasco da Gama;Wilton Pereira Sampaio;Match Report;
