Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;01/mar;CPA;Mis;Dis;Rec;PrgR;Matches
732;Talles Wander;br BRA;FW,MF;São Paulo;19;2003;0.2;9;1;1;4;4;3;9;0;0;;0;;4;97;11;1;2;0;0;2;5;1;Matches
733;Wanderson;br BRA;DF;América (MG);31;1991;5.6;217;42;127;84;7;2;217;0;0;;0;;95;513;294;2;0;0;0;0;105;0;Matches
734;Wanderson;br BRA;FW,MF;Internacional;28;1994;26.0;1074;21;152;435;517;75;1074;122;67;54.9;41;33.6;683;4921;2582;97;61;25;48;25;757;169;Matches
735;Deivid Washington;br BRA;FW;Santos;17;2005;4.7;145;5;13;72;64;20;145;20;9;45.0;9;45.0;77;550;275;11;9;6;13;8;90;13;Matches
736;Welington;br BRA;DF;São Paulo;21;2001;10.4;671;27;189;281;214;13;671;35;18;51.4;13;37.1;356;2091;1247;36;22;5;11;17;399;57;Matches
737;José Welison;br BRA;MF;Fortaleza;27;1995;18.6;1065;39;210;659;213;14;1065;26;19;73.1;5;19.2;560;2651;1353;19;23;3;15;18;629;31;Matches
738;João Wellington;br BRA;MF;Cruzeiro;19;2004;4.1;163;10;26;94;43;6;163;8;3;37.5;4;50.0;93;446;199;1;2;0;8;3;102;13;Matches
739;Wesley;br BRA;FW,MF;Cruzeiro;23;1999;19.7;852;14;85;361;423;75;852;82;39;47.6;31;37.8;528;3658;1988;65;38;22;53;21;622;186;Matches
740;Wesley;br BRA;DF;Flamengo;19;2003;27.9;1875;75;396;836;664;59;1875;79;31;39.2;41;51.9;1099;5194;2343;49;45;13;65;41;1209;291;Matches
741;Wesley;br BRA;DF;Grêmio;19;2004;1.0;46;2;13;22;12;0;46;1;1;100.0;0;0.0;21;107;55;1;0;0;2;0;25;1;Matches
742;Wéverton;br BRA;GK;Palmeiras;35;1987;35.0;1255;1011;1240;15;0;0;1255;0;0;;0;;714;3786;2327;0;0;0;0;0;596;0;Matches
743;William;br BRA;DF;Cruzeiro;27;1995;29.4;1964;75;486;902;589;35;1964;70;28;40.0;36;51.4;989;5479;3131;70;48;6;45;14;1088;157;Matches
744;Willian;br BRA;FW,MF;Ath Paranaense;36;1986;6.4;223;1;12;106;108;28;223;13;5;38.5;8;61.5;121;674;163;5;6;2;15;7;162;41;Matches
745;Willian;br BRA;MF;Goiás;29;1993;24.4;1298;94;398;789;123;17;1298;7;3;42.9;0;0.0;615;2361;1052;6;9;1;23;11;792;9;Matches
746;Xavier;br BRA;DF;Goiás;22;2000;0.7;;;;;;;;;;;;;;;;;;;;;;;Matches
747;Samuel Xavier;br BRA;DF;Fluminense;32;1990;23.4;1571;61;481;704;402;29;1571;25;11;44.0;10;40.0;884;4361;2227;42;27;5;16;15;996;62;Matches
748;Yago;br BRA;MF;Bahia;27;1995;15.1;811;22;181;477;162;9;811;8;5;62.5;2;25.0;443;1770;785;11;15;2;14;13;524;32;Matches
749;Vinícius Zanocelo;br BRA;MF,FW;Fortaleza;22;2001;0.9;86;2;11;54;22;5;86;1;1;100.0;0;0.0;51;251;76;1;2;1;4;2;51;2;Matches
750;Bruno Zapelli;ar ARG;MF,FW;Ath Paranaense;20;2002;12.7;754;4;72;386;301;34;754;52;24;46.2;25;48.1;427;2350;1183;35;27;5;26;29;527;71;Matches
751;Federico Zaracho;ar ARG;MF,FW;Atlético Mineiro;24;1998;21.6;1201;29;177;723;315;40;1201;38;27;71.1;7;18.4;654;2698;1167;16;22;4;43;32;766;74;Matches
752;Zinho;br BRA;FW,MF;Grêmio;19;2003;2.7;98;0;16;41;47;10;98;14;8;57.1;5;35.7;64;544;304;15;7;5;13;5;69;24;
