,instance_index,receiver_polygon_area,transmitter_polygon_area,adversary_domain_pass_count,alpha_angle,avg_distance_receiver_adversary_boundaries,avg_distance_transmitter_adversary_boundaries,min_distance_transmitter_adversary_boundaries,min_distance_receiver_adversary_boundaries,adversary_friend_area_ratio,adversary_friend_area_ratio_reduced
3000,3055,232.22740147330532,502.2690009246642,1,90.52586367077934,30.9642011323942,10.790557775885834,0.0,0.0,0.25992772922075524,0.10289803115425426
3001,3056,344.3974530417212,181.76579537329934,1,82.74564774406804,11.906868327887057,33.174250725872156,0.0,0.0,0.10866613782231496,0.052489497333196675
3002,3057,109.00455985891857,60.90856724721278,1,81.75887137228077,32.630275360355256,11.266085519329849,0.0,0.0,0.6277704622874811,0.5921203844357931
3003,3058,160.69006829261653,240.06406869706066,0,97.45788893339868,6.7901436917117755,9.863299944952146,0.0,0.0,0.12227441203643098,0.0
3004,3059,201.47934133463738,82.09742731179304,2,49.963588881390336,16.28491262169707,6.982237321839944,0.0,0.0,0.712651219568163,0.6850188265585977
3005,3060,30.858760214002594,73.66849912573315,0,86.73867531355874,13.813454047032456,8.709975257778671,0.0,0.0,0.15012543655238392,0.0
3006,3061,84.64324425477187,43.37834299891925,1,54.96038929805502,9.504756015488299,13.688168938218576,0.0,0.0,0.2793328380285515,0.1769885650732722
3007,3062,29.79462249012871,73.43654409677123,0,95.54243421288453,20.08283601209442,27.597958160407188,0.0,0.0,0.0,0.0
3008,3063,79.68790982569973,91.52792539805263,1,79.02298501995621,23.131868974026027,19.57696291094053,0.0,0.0,0.3165473594005109,0.2854427902376354
3009,3064,88.39968182568022,89.06009248101921,2,88.64461168568957,19.123912256864486,23.224165886164464,0.0,0.0,0.20121442833302328,0.25506147782260163
3010,3065,108.96940527666047,29.39340072067982,2,103.36309140766244,26.70124538089504,19.247985046944624,0.0,1.313090628159105,0.915245377581768,0.9181446693690177
3011,3066,16.459947012640978,61.78982380788469,0,129.81985035669624,19.165857751903907,27.135722135122894,3.6005659335698685,0.0,0.15241435562384503,0.00019797665106811296
3012,3067,58.69407521523381,110.04995051768361,2,29.730058287643132,14.588250539023173,19.73074661938686,0.13196037877171862,0.5531793209819195,0.4445308069628138,0.35880172620919526
3013,3068,120.19824480960091,894.8229894814905,2,62.718535218716035,16.04895529340823,14.738419852733614,2.0026628802013766,0.0,0.3094470667408957,0.36973770276615936
3014,3069,56.36385112133637,222.6221141677493,0,106.33639125342319,29.956561440367857,29.230061739309495,0.0,11.601868023010228,0.22820071612241388,0.1224832469497525
